probe	gene_hg38	geneType	Composite Element REF	Beta_value	Gene_Symbol	Chromosome	Genomic_Coordinate	gene_hg19	hg19_in_hg38	hg38_in_hg19	different_gene_annotation
cg02096520	FGF16	protein_coding	cg02096520	0.954686635778465	FGF16	X	76709500	FGF16	TRUE	TRUE	FALSE
cg02096633	UNC13B	protein_coding	cg02096633	0.028007246410891	UNC13B	9	35162499	UNC13B	TRUE	TRUE	FALSE
cg02096656	C7orf55;C7orf55-LUC7L2;LUC7L2	protein_coding	cg02096656	0.126811505527872	C7orf55	7	139025181	C7orf55	TRUE	FALSE	TRUE
cg02097420	HRG;RP11-573D15.8	protein_coding;antisense	cg02097420	0.934419250131869	HRG	3	186383874	HRG	TRUE	FALSE	TRUE
cg02097636	PAFAH1B3;PRR19	protein_coding	cg02097636	0.00907218475780876	PAFAH1B3;PRR19	19	42806344	PAFAH1B3;PRR19	TRUE	TRUE	FALSE
cg02099418	CD28	protein_coding	cg02099418	0.795170873249321	CD28	2	204571146	CD28	TRUE	TRUE	FALSE
cg02100629	AIFM2	protein_coding	cg02100629	0.0515256454429629	AIFM2	10	71892760	AIFM2	TRUE	TRUE	FALSE
cg02100828	ACYP2;PSME4	protein_coding	cg02100828	0.00929178283918536	PSME4	2	54198338	PSME4	TRUE	FALSE	TRUE
cg02100848	SSUH2	protein_coding	cg02100848	0.467757829586852	C3orf32	3	8693859	C3orf32	FALSE	FALSE	TRUE
cg02101486	DLX5	protein_coding	cg02101486	0.242218650476766	DLX5	7	96652245	DLX5	TRUE	TRUE	FALSE
cg02102644	RP11-697E22.1;SYNRG	antisense;protein_coding	cg02102644	0.0182638946526514	SYNRG	17	35969361	SYNRG	TRUE	FALSE	TRUE
cg02103294	SDCBP	protein_coding	cg02103294	0.0235907065578909	SDCBP	8	59465971	SDCBP	TRUE	TRUE	FALSE
cg02104644	SYT7	protein_coding	cg02104644	0.119711790036221	SYT7	11	61347820	SYT7	TRUE	TRUE	FALSE
cg02105034	SMG7;SMG7-AS1	protein_coding;processed_transcript	cg02105034	0.0155559637131913	SMG7	1	183441865	SMG7	TRUE	FALSE	TRUE
cg02105377	MAGI1	protein_coding	cg02105377	0.00764869907471944	MAGI1	3	66024554	MAGI1	TRUE	TRUE	FALSE
cg02105856	PIGR	protein_coding	cg02105856	0.37091001606035	PIGR	1	207119784	PIGR	TRUE	TRUE	FALSE
cg02110963	LINC00518;RP1-290I10.7	lincRNA	cg02110963	NA	C6orf218	6	10434975	C6orf218	FALSE	FALSE	TRUE
cg02111587	TACR1	protein_coding	cg02111587	0.11171313334606	TACR1	2	75426512	TACR1	TRUE	TRUE	FALSE
cg02113971	METTL17	protein_coding	cg02113971	0.0197976354667906	METT11D1	14	21457816	METT11D1	FALSE	FALSE	TRUE
cg02114786	PTTG1IP	protein_coding	cg02114786	0.0192015400590294	PTTG1IP	21	46293672	PTTG1IP	TRUE	TRUE	FALSE
cg02115041	NPBWR1	protein_coding	cg02115041	0.613050303898102	NPBWR1	8	53852101	NPBWR1	TRUE	TRUE	FALSE
cg02117021	OR11A1;OR2H1	protein_coding	cg02117021	NA	OR2H1	6	29425960	OR2H1	TRUE	FALSE	TRUE
cg02119229	AP002884.2;BCO2	protein_coding	cg02119229	0.0127929813765548	BCO2	11	112046248	BCO2	TRUE	FALSE	TRUE
cg02119982	NOD2	protein_coding	cg02119982	0.850328833800559	NOD2	16	50731412	NOD2	TRUE	TRUE	FALSE
cg02121427	LRRC15	protein_coding	cg02121427	0.31132745988247	LRRC15	3	194091192	LRRC15	TRUE	TRUE	FALSE
cg02121943	TBX3	protein_coding	cg02121943	NA	TBX3	12	115121489	TBX3	TRUE	TRUE	FALSE
cg02123547	PIM1	protein_coding	cg02123547	0.0324342735641147	PIM1	6	37137464	PIM1	TRUE	TRUE	FALSE
cg02124291	OR7A5	protein_coding	cg02124291	0.893088900989421	OR7A5	19	14939260	OR7A5	TRUE	TRUE	FALSE
cg02125271	SNRPN;SNURF	protein_coding	cg02125271	0.765984272632675	SNRPN;SNURF	15	25200406	SNRPN;SNURF	TRUE	TRUE	FALSE
cg02126424	CTC-479C5.12;CTRL	protein_coding	cg02126424	0.941195663983179	CTRL	16	67965099	CTRL	TRUE	FALSE	TRUE
cg02126638	HAUS2;LRRC57	protein_coding	cg02126638	0.0169412875403755	HAUS2;LRRC57	15	42840787	HAUS2;LRRC57	TRUE	TRUE	FALSE
cg02126753	AEBP1	protein_coding	cg02126753	0.777740151222855	AEBP1	7	44143998	AEBP1	TRUE	TRUE	FALSE
cg02128567	KCNK5	protein_coding	cg02128567	0.0153038182870435	KCNK5	6	39196998	KCNK5	TRUE	TRUE	FALSE
cg02130905	STMN4	protein_coding	cg02130905	0.597744606922218	STMN4	8	27116213	STMN4	TRUE	TRUE	FALSE
cg02131399	LRP1;STAT6	protein_coding	cg02131399	0.0107161843967609	LRP1	12	57521155	LRP1	TRUE	FALSE	TRUE
cg02131853	TMEM156	protein_coding	cg02131853	0.146009455989042	TMEM156	4	39034637	TMEM156	TRUE	TRUE	FALSE
cg02131967	ACE	protein_coding	cg02131967	0.306669874393852	ACE	17	61554106	ACE	TRUE	TRUE	FALSE
cg02131995	HAMP	protein_coding	cg02131995	0.676746489190072	HAMP	19	35772917	HAMP	TRUE	TRUE	FALSE
cg02132188	HMGN5	protein_coding	cg02132188	0.043281328830243	HMGN5	X	80377408	HMGN5	TRUE	TRUE	FALSE
cg02136132	KCNK13	protein_coding	cg02136132	0.109850954150191	KCNK13	14	90527891	KCNK13	TRUE	TRUE	FALSE
cg02141570	ANKRD18DP	transcribed_unprocessed_pseudogene	cg02141570	0.687474165502939	LOC348840	3	197808633	LOC348840	FALSE	FALSE	TRUE
cg02141675	GALNT10;MFAP3	protein_coding	cg02141675	NA	GALNT10	5	153569408	GALNT10	TRUE	FALSE	TRUE
cg02142461	LYAR;ZBTB49	protein_coding	cg02142461	NA	ZNF509;LYAR	4	4293079	LYAR;ZNF509	FALSE	FALSE	TRUE
cg02144298	CEBPA;CEBPA-AS1;CTD-2540B15.7	protein_coding;antisense	cg02144298	0.00895275435272553	CEBPA;LOC80054	19	33792681	CEBPA;LOC80054	FALSE	FALSE	TRUE
cg02144933	AOX1	protein_coding	cg02144933	0.16952663722623	AOX1	2	201450690	AOX1	TRUE	TRUE	FALSE
cg02147791	SAP18;SNORD27	protein_coding;snoRNA	cg02147791	0.067785712056142	SAP18	13	21714429	SAP18	TRUE	FALSE	TRUE
cg02148642	NA	.	cg02148642	0.149471410657798	NA	NA	0	NA	TRUE	TRUE	FALSE
cg02148711	ATRX	protein_coding	cg02148711	0.109544828304519	ATRX	X	77041559	ATRX	TRUE	TRUE	FALSE
cg02148834	NA	.	cg02148834	0.898039215240853	NA	NA	0	NA	TRUE	TRUE	FALSE
cg02149446	C5AR1	protein_coding	cg02149446	0.58464419054096	C5AR1	19	47812519	C5AR1	TRUE	TRUE	FALSE
cg02150709	PPIH	protein_coding	cg02150709	0.0153728330484763	PPIH	1	43123922	PPIH	TRUE	TRUE	FALSE
cg02150910	GZMH;RP11-104E19.1	protein_coding;antisense	cg02150910	0.820608201144272	GZMH	14	25079357	GZMH	TRUE	FALSE	TRUE
cg02151301	HM13	protein_coding	cg02151301	NA	HM13	20	30101785	HM13	TRUE	TRUE	FALSE
cg02153528	NABP2	protein_coding	cg02153528	0.0458012115940474	OBFC2B	12	56618648	OBFC2B	FALSE	FALSE	TRUE
cg02153871	HARS;HARS2	protein_coding	cg02153871	0.0278076850115879	HARS2;HARS	5	140070879	HARS;HARS2	TRUE	TRUE	FALSE
cg02154074	AUP1;HTRA2	protein_coding	cg02154074	NA	HTRA2;AUP1	2	74756234	AUP1;HTRA2	TRUE	TRUE	FALSE
cg02154186	DPYSL2;PNMA2	protein_coding	cg02154186	0.501719244570465	PNMA2	8	26371353	PNMA2	TRUE	FALSE	TRUE
cg02154956	PCCA;RP11-12G12.7	protein_coding;lincRNA	cg02154956	0.00645665829227908	PCCA	13	100741410	PCCA	TRUE	FALSE	TRUE
cg02157083	APOA5	protein_coding	cg02157083	0.824352963394742	APOA5	11	116662800	APOA5	TRUE	TRUE	FALSE
cg02157306	ELMOD2	protein_coding	cg02157306	0.0177049098020349	ELMOD2	4	141445059	ELMOD2	TRUE	TRUE	FALSE
cg02159896	MPPE1;RP11-820I16.4	protein_coding;antisense	cg02159896	0.0174115712770221	MPPE1	18	11908181	MPPE1	TRUE	FALSE	TRUE
cg02160826	DNAJC9-AS1;MRPS16;RP11-152N13.5	antisense;protein_coding	cg02160826	0.0135450808509176	MRPS16	10	75012589	MRPS16	TRUE	FALSE	TRUE
cg02161046	HIAT1	protein_coding	cg02161046	0.014073026097836	HIAT1	1	100503743	HIAT1	TRUE	TRUE	FALSE
cg02161900	MKX;MKX-AS1	protein_coding;antisense	cg02161900	0.673285606966615	MKX	10	28035631	MKX	TRUE	FALSE	TRUE
cg02162069	MIMT1;MIMT1_1;PEG3;ZIM2	lincRNA;sRNA;protein_coding	cg02162069	0.857997790279593	ZIM2;PEG3;MIMT1	19	57352134	MIMT1;PEG3;ZIM2	TRUE	FALSE	TRUE
cg02162412	CTD-2235C13.2;HMGCR	antisense;protein_coding	cg02162412	0.0165187973807807	HMGCR	5	74632926	HMGCR	TRUE	FALSE	TRUE
cg02162950	DIS3;PIBF1	protein_coding	cg02162950	0.0158363105135106	DIS3;PIBF1	13	73355953	DIS3;PIBF1	TRUE	TRUE	FALSE
cg02163937	FAM53B;RP11-12J10.3	protein_coding	cg02163937	0.019000061696063	FAM53B	10	126432368	FAM53B	TRUE	FALSE	TRUE
cg02164046	SST	protein_coding	cg02164046	0.626269534574577	SST	3	187388148	SST	TRUE	TRUE	FALSE
cg02164386	HIGD1B	protein_coding	cg02164386	0.790966730134735	HIGD1B	17	42925536	HIGD1B	TRUE	TRUE	FALSE
cg02164442	ITGAD	protein_coding	cg02164442	0.567098659170567	ITGAD	16	31405101	ITGAD	TRUE	TRUE	FALSE
cg02165720	NDUFB11;RBM10	protein_coding	cg02165720	0.0859171935570031	NDUFB11;RBM10	X	47004051	NDUFB11;RBM10	TRUE	TRUE	FALSE
cg02166313	PAPOLA;RP11-872J21.3	protein_coding;antisense	cg02166313	NA	PAPOLA	14	96968050	PAPOLA	TRUE	FALSE	TRUE
cg02166532	IGF2;INS-IGF2	protein_coding	cg02166532	0.454663717777099	INS-IGF2;IGF2	11	2159853	IGF2;INS-IGF2	TRUE	TRUE	FALSE
cg02168291	CDH13	protein_coding	cg02168291	NA	CDH13	16	82671520	CDH13	TRUE	TRUE	FALSE
cg02169098	DESI1;XRCC6	protein_coding	cg02169098	0.0203694771218901	PPPDE2;XRCC6	22	42017294	PPPDE2;XRCC6	FALSE	FALSE	TRUE
cg02169430	CHD2;RP11-437B10.1	protein_coding	cg02169430	0.0450623943777743	NA	NA	0	NA	TRUE	FALSE	TRUE
cg02169446	MYO9A;SENP8	protein_coding	cg02169446	0.0163379739926278	MYO9A;SENP8	15	72410194	MYO9A;SENP8	TRUE	TRUE	FALSE
cg02170525	CD8A	protein_coding	cg02170525	0.0672899051611956	CD8A	2	87018382	CD8A	TRUE	TRUE	FALSE
cg02171008	RPL27A	protein_coding	cg02171008	0.00972485523461977	RPL27A	11	8703884	RPL27A	TRUE	TRUE	FALSE
cg02171545	RP11-385H1.1;SNRPN	TEC;protein_coding	cg02171545	0.857881170490634	SNRPN	15	25093366	SNRPN	TRUE	FALSE	TRUE
cg02173484	GJA5	protein_coding	cg02173484	0.399203937988885	GJA5	1	147245168	GJA5	TRUE	TRUE	FALSE
cg02175035	RAB40B	protein_coding	cg02175035	0.0109579648925625	RAB40B	17	80656466	RAB40B	TRUE	TRUE	FALSE
cg02175308	SORT1	protein_coding	cg02175308	0.107315789090165	SORT1	1	109941060	SORT1	TRUE	TRUE	FALSE
cg02178774	MEF2BNB;MEF2BNB-MEF2B;RFXANK	protein_coding	cg02178774	NA	LOC729991;RFXANK;LOC729991-MEF2B	19	19302803	LOC729991;LOC729991-MEF2B;RFXANK	FALSE	FALSE	TRUE
cg02178898	MTRF1	protein_coding	cg02178898	0.0292929037670811	MTRF1	13	41837525	MTRF1	TRUE	TRUE	FALSE
cg02181494	ARSA	protein_coding	cg02181494	0.0125912538748965	ARSA	22	51066755	ARSA	TRUE	TRUE	FALSE
cg02181506	SERPINA1	protein_coding	cg02181506	0.122533544836056	SERPINA1	14	94856984	SERPINA1	TRUE	TRUE	FALSE
cg02182354	NEUROG2;RP11-402J6.1	protein_coding;antisense	cg02182354	NA	NEUROG2	4	113437522	NEUROG2	TRUE	FALSE	TRUE
cg02184413	VNN1	protein_coding	cg02184413	0.148968365770453	VNN1	6	133035235	VNN1	TRUE	TRUE	FALSE
cg02186298	DPF2	protein_coding	cg02186298	0.0605806472395197	DPF2	11	65101602	DPF2	TRUE	TRUE	FALSE
cg02186948	COMMD9	protein_coding	cg02186948	NA	COMMD9	11	36310854	COMMD9	TRUE	TRUE	FALSE
cg02186966	AC006378.2;BET1	antisense;protein_coding	cg02186966	0.0143270573662345	BET1	7	93633904	BET1	TRUE	FALSE	TRUE
cg02187357	TBC1D22B;TMEM217	protein_coding	cg02187357	NA	TBC1D22B;TMEM217	6	37224216	TBC1D22B;TMEM217	TRUE	TRUE	FALSE
cg02187914	ATP6V1C1;KB-1639H6.2	protein_coding;antisense	cg02187914	0.0217630315541335	NA	NA	0	NA	TRUE	FALSE	TRUE
cg02189785	CLIC3	protein_coding	cg02189785	0.0542901342830859	CLIC3	9	139891008	CLIC3	TRUE	TRUE	FALSE
cg02192520	RDH5;RP11-644F5.10	protein_coding	cg02192520	0.228896122131219	RDH5	12	56114155	RDH5	TRUE	FALSE	TRUE
cg02192855	HIST1H2APS4;HIST1H2BI;HIST1H3G	processed_pseudogene;protein_coding	cg02192855	0.0345699471591094	HIST1H2BI	6	26273199	HIST1H2BI	TRUE	FALSE	TRUE
cg02192965	SLC3A1	protein_coding	cg02192965	0.204904306147667	SLC3A1	2	44502740	SLC3A1	TRUE	TRUE	FALSE
cg02194211	FAM3D	protein_coding	cg02194211	0.671111304484015	FAM3D	3	58652346	FAM3D	TRUE	TRUE	FALSE
cg02194878	EPHA8	protein_coding	cg02194878	0.403124257925199	NA	NA	0	NA	TRUE	FALSE	TRUE
cg02196655	Metazoa_SRP;NOL10;RN7SL832P	misc_RNA;protein_coding;lincRNA	cg02196655	0.296506949880674	NOL10	2	10830764	NOL10	TRUE	FALSE	TRUE
cg02196730	MTHFS;ST20-MTHFS	lincRNA;protein_coding	cg02196730	0.0264218737420148	MTHFS	15	80188777	MTHFS	TRUE	FALSE	TRUE
cg02196805	CSF2	protein_coding	cg02196805	0.330492016481147	CSF2	5	131409637	CSF2	TRUE	TRUE	FALSE
cg02197293	FBXO27	protein_coding	cg02197293	0.64354581429197	FBXO27	19	39523158	FBXO27	TRUE	TRUE	FALSE
cg02198044	NEDD4	protein_coding	cg02198044	0.0326527334009598	NEDD4	15	56286336	NEDD4	TRUE	TRUE	FALSE
cg02198582	TSC2	protein_coding	cg02198582	0.957790427591996	TSC2	16	2099376	TSC2	TRUE	TRUE	FALSE
cg02200132	EIF4A2;RP11-573D15.9;SNORD2	protein_coding;antisense;snoRNA	cg02200132	0.0228861069172331	EIF4A2;SNORD2	3	186501254	EIF4A2;SNORD2	TRUE	FALSE	TRUE
cg02200584	PDGFC;RP11-612J15.3	protein_coding;processed_pseudogene	cg02200584	0.0257015979965993	PDGFC	4	157892546	PDGFC	TRUE	FALSE	TRUE
cg02201963	CEP76;PSMG2	protein_coding	cg02201963	0.0105746653910775	PSMG2;CEP76	18	12702795	CEP76;PSMG2	TRUE	TRUE	FALSE
cg02202484	SPRR4	protein_coding	cg02202484	NA	SPRR4	1	152942688	SPRR4	TRUE	TRUE	FALSE
cg02204046	MYCN;MYCNOS	protein_coding;antisense	cg02204046	0.0252480263901615	MYCN;MYCNOS	2	16080760	MYCN;MYCNOS	TRUE	TRUE	FALSE
cg02205739	PRRX2	protein_coding	cg02205739	0.0362508491630245	PRRX2	9	132427570	PRRX2	TRUE	TRUE	FALSE
cg02205962	ABCD1;BCAP31	protein_coding	cg02205962	0.254284884864652	BCAP31;ABCD1	X	152989807	ABCD1;BCAP31	TRUE	TRUE	FALSE
cg02206259	C1orf198	protein_coding	cg02206259	0.0449115885806805	C1orf198	1	231003485	C1orf198	TRUE	TRUE	FALSE
cg02207610	PPP1R12C	protein_coding	cg02207610	0.0244631355150806	PPP1R12C	19	55628570	PPP1R12C	TRUE	TRUE	FALSE
cg02210123	RHOJ	protein_coding	cg02210123	0.0395219894915285	RHOJ	14	63670835	RHOJ	TRUE	TRUE	FALSE
cg02210887	GUCY1A3	protein_coding	cg02210887	0.719047536040625	GUCY1A3	4	156586680	GUCY1A3	TRUE	TRUE	FALSE
cg02212280	MMP1;WTAPP1	protein_coding;transcribed_processed_pseudogene	cg02212280	0.945257538116084	MMP1	11	102670192	MMP1	TRUE	FALSE	TRUE
cg02212737	EXOC7	protein_coding	cg02212737	0.0174605991551134	EXOC7	17	74099749	EXOC7	TRUE	TRUE	FALSE
cg02212836	LY86;LY86-AS1	protein_coding;antisense	cg02212836	0.534325993124153	LY86;LOC285780	6	6589075	LOC285780;LY86	FALSE	FALSE	TRUE
cg02213716	UBAC2;UBAC2-AS1	protein_coding;lincRNA	cg02213716	0.0133421405621114	UBAC2	13	99853497	UBAC2	TRUE	FALSE	TRUE
cg02214188	BDH2	protein_coding	cg02214188	0.271813595438189	BDH2	4	104020949	BDH2	TRUE	TRUE	FALSE
cg02215538	ANKHD1;ANKHD1-EIF4EBP3;CTC-329D1.2	protein_coding;antisense	cg02215538	0.00991504914721331	ANKHD1;ANKHD1-EIF4EBP3	5	139782041	ANKHD1;ANKHD1-EIF4EBP3	TRUE	FALSE	TRUE
cg02216250	OCLN;RP11-241G9.3	protein_coding;antisense	cg02216250	0.0201021281475565	OCLN	5	68788173	OCLN	TRUE	FALSE	TRUE
cg02217159	KHDRBS2	protein_coding	cg02217159	0.384409501452814	KHDRBS2	6	62996697	KHDRBS2	TRUE	TRUE	FALSE
cg02217814	CTD-2521M24.4;CTD-2521M24.6;CTD-2521M24.8;MVB12A	processed_pseudogene;antisense;protein_coding	cg02217814	0.040900079583609	FAM125A	19	17530319	FAM125A	FALSE	FALSE	TRUE
cg02218214	ANGPTL3;DOCK7	protein_coding	cg02218214	0.846269320719623	DOCK7;ANGPTL3	1	63062489	ANGPTL3;DOCK7	TRUE	TRUE	FALSE
cg02218260	GRM2	protein_coding	cg02218260	0.881245715662879	GRM2	3	51742878	GRM2	TRUE	TRUE	FALSE
cg02218324	RSPH6A	protein_coding	cg02218324	0.830790738405923	RSPH6A	19	46318439	RSPH6A	TRUE	TRUE	FALSE
cg02222362	PTPN20A	protein_coding	cg02222362	0.632718644468222	PTPN20B;PTPN20A	10	48828109	PTPN20A;PTPN20B	FALSE	TRUE	TRUE
cg02224164	ARHGAP9;MARS	protein_coding	cg02224164	0.800175105503343	MARS	12	57883315	MARS	TRUE	FALSE	TRUE
cg02224920	B3GALT6;SDF4	protein_coding	cg02224920	NA	SDF4;B3GALT6	1	1166824	B3GALT6;SDF4	TRUE	TRUE	FALSE
cg02225847	CTD-2012K14.8;FAM65A	antisense;protein_coding	cg02225847	0.138003695095099	FAM65A	16	67563418	FAM65A	TRUE	FALSE	TRUE
cg02226697	RP11-6D1.3;SQLE	antisense;protein_coding	cg02226697	NA	SQLE	8	126010266	SQLE	TRUE	FALSE	TRUE
cg02226871	VPS28	protein_coding	cg02226871	0.0122305351352361	VPS28	8	145653662	VPS28	TRUE	TRUE	FALSE
cg02226939	BLMH	protein_coding	cg02226939	NA	BLMH	17	28619481	BLMH	TRUE	TRUE	FALSE
cg02227605	ROPN1L;ROPN1L-AS1	protein_coding;antisense	cg02227605	0.030321446485734	ROPN1L	5	10441490	ROPN1L	TRUE	FALSE	TRUE
cg02228185	ASPA;SPATA22	protein_coding	cg02228185	0.149547217871181	ASPA	17	3379567	ASPA	TRUE	FALSE	TRUE
cg02229516	TRMT1	protein_coding	cg02229516	0.0136890712347577	TRMT1	19	13227228	TRMT1	TRUE	TRUE	FALSE
cg02229946	IL37	protein_coding	cg02229946	0.807285031023386	IL1F7	2	113669912	IL1F7	FALSE	FALSE	TRUE
cg02232922	SLC25A43	protein_coding	cg02232922	NA	SLC25A43	X	118532809	SLC25A43	TRUE	TRUE	FALSE
cg02233558	LINC01184;SLC12A2	lincRNA;protein_coding	cg02233558	0.0362934187661349	SLC12A2;FLJ33630	5	127418922	FLJ33630;SLC12A2	FALSE	FALSE	TRUE
cg02233559	SLC46A3	protein_coding	cg02233559	0.0113393699955973	SLC46A3	13	29293325	SLC46A3	TRUE	TRUE	FALSE
cg02235880	FANCF;GAS2	protein_coding	cg02235880	0.0443856320283111	FANCF	11	22647123	FANCF	TRUE	FALSE	TRUE
cg02237119	WBSCR27	protein_coding	cg02237119	0.29914886418709	WBSCR27	7	73256414	WBSCR27	TRUE	TRUE	FALSE
cg02237186	RRM2	protein_coding	cg02237186	0.0145984569965416	RRM2	2	10263043	RRM2	TRUE	TRUE	FALSE
cg02238504	ZNF423	protein_coding	cg02238504	NA	ZNF423	16	49861375	ZNF423	TRUE	TRUE	FALSE
cg02238747	RP11-452K12.7;RRP12	antisense;protein_coding	cg02238747	0.0489705573703095	RRP12	10	99161279	RRP12	TRUE	FALSE	TRUE
cg02238826	B3GNT5;MCF2L2	protein_coding	cg02238826	0.0192206599951597	MCF2L2;B3GNT5	3	182971069	B3GNT5;MCF2L2	TRUE	TRUE	FALSE
cg02239021	CYB5RL;MRPL37;RP11-446E24.4	protein_coding	cg02239021	0.0156381867152874	CYB5RL;MRPL37	1	54665433	CYB5RL;MRPL37	TRUE	FALSE	TRUE
cg02239082	CTC-273B12.5;CTC-273B12.7;CYTH2	antisense;protein_coding	cg02239082	0.00887293123679011	CYTH2	19	48972844	CYTH2	TRUE	FALSE	TRUE
cg02240226	GLB1L;STK16	protein_coding	cg02240226	0.0103922912680148	STK16;GLB1L	2	220110027	GLB1L;STK16	TRUE	TRUE	FALSE
cg02240622	PLCB2	protein_coding	cg02240622	0.692533750966963	PLCB2	15	40601467	PLCB2	TRUE	TRUE	FALSE
cg02241259	C1orf141;IL23R	protein_coding	cg02241259	0.914543966033969	NA	NA	0	NA	TRUE	FALSE	TRUE
cg02241586	IDH1;PIKFYVE	protein_coding	cg02241586	0.0110836096270761	PIKFYVE	2	209131508	PIKFYVE	TRUE	FALSE	TRUE
cg02244695	TMEM176A;TMEM176B	protein_coding	cg02244695	0.143454023832746	TMEM176B;TMEM176A	7	150497346	TMEM176A;TMEM176B	TRUE	TRUE	FALSE
cg02245378	CCDC140;PAX3	protein_coding	cg02245378	0.590525603596622	PAX3;CCDC140	2	223161771	CCDC140;PAX3	TRUE	TRUE	FALSE
cg02245418	POLR3C;RNF115	protein_coding	cg02245418	NA	POLR3C;RNF115	1	145609675	POLR3C;RNF115	TRUE	TRUE	FALSE
cg02246665	GLT8D2;HCFC2	protein_coding	cg02246665	NA	HCFC2	12	104458006	HCFC2	TRUE	FALSE	TRUE
cg02246968	UBAC2;UBAC2-AS1	protein_coding;lincRNA	cg02246968	0.00890732287126517	UBAC2	13	99852859	UBAC2	TRUE	FALSE	TRUE
cg02247582	AC074091.1;RP11-158I13.2;ZNF512	miRNA;processed_transcript;protein_coding	cg02247582	0.392536360104683	ZNF512	2	27806117	ZNF512	TRUE	FALSE	TRUE
cg02248486	HOXA-AS3;HOXA3;HOXA5;RP1-170O19.22	antisense;protein_coding;processed_transcript	cg02248486	0.820837771426459	HOXA5	7	27183196	HOXA5	TRUE	FALSE	TRUE
cg02248540	NA	.	cg02248540	0.0222802924393778	NA	NA	0	NA	TRUE	TRUE	FALSE
cg02250594	ONECUT2	protein_coding	cg02250594	0.585367288485865	ONECUT2	18	55103353	ONECUT2	TRUE	TRUE	FALSE
cg02250787	HTR2A	protein_coding	cg02250787	0.249061860711894	HTR2A	13	47470989	HTR2A	TRUE	TRUE	FALSE
cg02250992	SCARB1	protein_coding	cg02250992	0.0118831533486228	SCARB1	12	125348168	SCARB1	TRUE	TRUE	FALSE
cg02251134	DOCK2	protein_coding	cg02251134	NA	DOCK2	5	169063563	DOCK2	TRUE	TRUE	FALSE
cg02252907	AP3D1	protein_coding	cg02252907	0.014376344771171	AP3D1	19	2151887	AP3D1	TRUE	TRUE	FALSE
cg02252918	CCDC92;FAM101A;RP11-214K3.25;ZNF664	protein_coding	cg02252918	0.0111553711477757	ZNF664;CCDC92	12	124458442	CCDC92;ZNF664	TRUE	FALSE	TRUE
cg02254407	PLEKHB1	protein_coding	cg02254407	0.838066148954299	PLEKHB1	11	73357159	PLEKHB1	TRUE	TRUE	FALSE
cg02254461	CSRNP1	protein_coding	cg02254461	0.767147024306543	CSRNP1	3	39195904	CSRNP1	TRUE	TRUE	FALSE
cg02254649	ENAH	protein_coding	cg02254649	0.0143187937448833	ENAH	1	225840109	ENAH	TRUE	TRUE	FALSE
cg02255004	PCAT4	lincRNA	cg02255004	NA	GDEP	4	80748660	GDEP	FALSE	FALSE	TRUE
cg02255609	MROH7-TTC4;TTC4	protein_coding	cg02255609	NA	TTC4	1	55181269	TTC4	TRUE	FALSE	TRUE
cg02255732	DCDC1	protein_coding	cg02255732	NA	NA	11	31150189	NA	TRUE	FALSE	TRUE
cg02257405	AC034228.2;ACSL6	antisense;protein_coding	cg02257405	0.675729206990072	ACSL6	5	131346985	ACSL6	TRUE	FALSE	TRUE
cg02257681	DDAH2	protein_coding	cg02257681	0.0151206030474346	DDAH2	6	31698002	DDAH2	TRUE	TRUE	FALSE
cg02259997	FGF9	protein_coding	cg02259997	0.023178045353895	FGF9	13	22245013	FGF9	TRUE	TRUE	FALSE
cg02260587	CTC-270D5.1;PCDHB2	antisense;protein_coding	cg02260587	0.554322443117085	PCDHB2	5	140474248	PCDHB2	TRUE	FALSE	TRUE
cg02261346	MPPED1	protein_coding	cg02261346	0.937598526251987	MPPED1	22	43898597	MPPED1	TRUE	TRUE	FALSE
cg02264284	HPRT1	protein_coding	cg02264284	NA	HPRT1	X	133594951	HPRT1	TRUE	TRUE	FALSE
cg02265318	MARC1	protein_coding	cg02265318	0.0198023853734159	MOSC1	1	220960539	MOSC1	FALSE	FALSE	TRUE
cg02266731	CPM	protein_coding	cg02266731	NA	CPM	12	69357333	CPM	TRUE	TRUE	FALSE
cg02268424	ZNF136	protein_coding	cg02268424	0.0108152447207481	ZNF136	19	12274129	ZNF136	TRUE	TRUE	FALSE
cg02269221	AC010761.6;TRAF4	antisense;protein_coding	cg02269221	0.00887070040837287	TRAF4	17	27071208	TRAF4	TRUE	FALSE	TRUE
cg02271621	DUSP8;KRTAP5-AS1	protein_coding;antisense	cg02271621	0.0112334447611777	HCCA2;LOC338651;DUSP8	11	1592675	DUSP8;HCCA2;LOC338651	FALSE	FALSE	TRUE
cg02273078	USP14	protein_coding	cg02273078	0.00822956903748236	USP14	18	158567	USP14	TRUE	TRUE	FALSE
cg02273392	SERPINE1	protein_coding	cg02273392	0.301292838614235	SERPINE1	7	100770414	SERPINE1	TRUE	TRUE	FALSE
cg02273788	PLXNB3;U52111.14	protein_coding;antisense	cg02273788	0.862091135859038	PLXNB3	X	153029150	PLXNB3	TRUE	FALSE	TRUE
cg02274362	NA	.	cg02274362	0.934780604816183	NA	NA	0	NA	TRUE	TRUE	FALSE
cg02275294	SOAT1	protein_coding	cg02275294	0.0252595552671497	SOAT1	1	179262462	SOAT1	TRUE	TRUE	FALSE
cg02275359	ZNF146;ZNF565	protein_coding	cg02275359	NA	ZNF146	19	36719719	ZNF146	TRUE	FALSE	TRUE
