Hybridization REF	TCGA-AA-A004-01A-01D-A00B-05	TCGA-AA-A004-01A-01D-A00B-05	TCGA-AA-A004-01A-01D-A00B-05	TCGA-AA-A004-01A-01D-A00B-05
cg06415153	0.447733412364537	PITPNM2	12	123519476
cg06416685	0.0360202615701057	TSPAN6	X	99891793
cg06417225	0.0331328225530302	PEBP1	12	118573533
cg06417705	0.0107666578582007	ETAA1	2	67624590
cg06417962	0.956083045330665	RNH1	11	507970
cg06418184	0.0260360651914866	DCTN3	9	34620572
cg06418219	0.0339147679852207	SHC1;CKS1B	1	154948305
cg06418878	0.016360861784717	BUD13	11	116643266
cg06419771	0.012676174390683	EHD4	15	42264912
cg06420088	0.116107400556351	MUC1;MIR92B	1	155163590
cg06421707	0.0133702284509608	PYGB	20	25228305
cg06421800	0.700794231250104	NA	NA	0
cg06422693	0.00707734755667548	OCIAD1	4	48833587
cg06422910	0.0116699191819818	COPG2	7	130352926
cg06423920	0.406735110625224	FEZF2	3	62359420
cg06424894	0.131954208500771	SORD	15	45314789
cg06425515	0.771710745254167	NA	NA	0
cg06425556	0.0184226049571258	NCOA6	20	33413664
cg06425868	0.217190181573546	SNX21	20	44463228
cg06426831	0.0232182561298934	SLC35A3	1	100435258
cg06428055	0.266701289315765	ELF4	X	129243872
cg06428195	0.0110990201096523	GOT1	10	101191157
cg06429195	0.914521974248542	DAZL	3	16646582
cg06432655	NA	CLIP3	19	36523405
cg06433658	0.0211837510725565	FAM63A	1	150979092
cg06433995	0.00960358866066015	NOL7	6	13615570
cg06434428	0.689801168721914	HAPLN1	5	83016630
cg06434451	0.730328100066819	MARCKSL1	1	32802291
cg06434470	0.790064154324409	DPP6	7	154429544
cg06435786	0.879670997678285	INPP4A	2	99135014
cg06436504	0.878320059380374	C3orf26;FILIP1L	3	99833735
cg06437004	0.139409945723682	LDHB	12	21810458
cg06437862	NA	TUBA3C	13	19756096
cg06438300	0.0938189056965189	FAM19A2	12	62586587
cg06438404	0.0122344994196376	COX4I1;COX4NB	16	85832847
cg06440646	0.0181031114038307	SMAD1	4	146403418
cg06444558	0.0296374173021301	NA	NA	0
cg06444781	0.503367705462269	HNF1A	12	121416510
cg06445611	0.948505697250485	GABRR2	6	90025053
cg06449653	0.00981670497954645	HNRNPR	1	23670777
cg06452064	0.0138807908676144	TRA2A	7	23571393
cg06452647	0.0288063801143312	MCRS1	12	49961750
cg06453691	0.925239395331309	STMN1	1	26218503
cg06454084	0.806055343780957	DACT3	19	47158242
cg06454226	0.279132189823955	NDC80;METTL4	18	2572965
cg06456031	0.0185468788603749	TMEM140	7	134832850
cg06456512	0.0441096111869572	ANP32A	15	69113056
cg06457357	0.756948672455756	KLF8	X	56259243
cg06458239	0.505026240145996	ZNF549	19	58038573
cg06459066	0.0127605135578015	MTHFD1	14	64855287
cg06459327	0.0373411694531293	NOP10	15	34635538
cg06459378	0.953860851500971	CYP3A7	7	99333757
cg06461769	0.0100958035872044	TWSG1	18	9335102
cg06461848	0.26360729028963	NA	NA	0
cg06462291	0.0727841855202583	NT5DC3	12	104235479
cg06462703	0.984175804509025	CHFR	12	133430564
cg06463913	0.0102844468755263	BET1L;RIC8A	11	207296
cg06465021	0.0145615970525312	FLJ33630;SLC12A2	5	127418547
cg06465194	0.423536946783573	GRIK4	11	120531034
cg06465926	0.0364259657695503	PPP2R3A	3	135685042
cg06466479	0.912018509630336	BRIX1	5	34919428
cg06466797	0.0170681476580265	HERPUD2	7	35735019
cg06468695	0.519438874131409	CCDC42	17	8647944
cg06469542	0.252029609378218	ISM2	14	77965869
cg06470471	0.664631778934154	NA	NA	0
cg06470552	0.0157735963177514	SMC3	10	112327234
cg06470943	NA	SMAP2	1	40839093
cg06471905	0.331631007800908	ADAM11	17	42835688
cg06473539	0.0279485070657053	NOS1AP	1	162039959
cg06475327	0.971651381408315	CEACAM8	19	43099482
cg06476337	0.0991905953398587	NDUFS4	5	52856530
cg06476606	0.0327319329742106	IFIT2	10	91061728
cg06479216	0.330264328808875	NA	NA	0
cg06479426	0.011024466870794	SLCO4A1	20	61274286
cg06479512	0.914005531052782	PNLDC1	6	160221164
cg06481786	0.0372515822484575	RDM1	17	34257936
cg06484397	0.0326167987167322	GLIPR2	9	36137132
cg06487986	0.00850723646983329	PER3	1	7843564
cg06488505	0.872304244696335	LRRC37B2	17	28934075
cg06488678	0.482127857806358	TMPRSS9	19	2390040
cg06489008	0.638652654588097	CST11	20	23433349
cg06489418	0.377699720375519	FTSJ1	X	48334722
cg06489804	0.0161022832843611	FBXW9	19	12807371
cg06490162	0.0120020435995212	C16orf63	16	15982174
cg06490951	0.94234393020002	CETN1	18	580435
cg06490988	0.417260805692258	GATA2	3	128212001
cg06491116	0.05545832619019	MPZL3	11	118122715
cg06491924	0.398068696770157	ZNF613	19	52430334
cg06492206	0.0166244445253234	SLC19A2	1	169455176
cg06493080	0.0377588186983599	HOXB7	17	46688310
cg06493386	0.560172173751557	TRPA1	8	72987797
cg06493930	0.878104494468322	GAS2	11	22689814
cg06493994	0.125371997993311	SCGN	6	25652602
cg06494770	0.824999787835667	KLHL13	X	117107675
cg06494782	0.505784339648125	KRT72	12	52995446
cg06495347	0.0893580387199713	SUOX	12	56391451
cg06495803	0.592398403285761	CD27;LOC678655	12	6553489
cg06495924	0.0207981536449445	CYC1	8	145149574
cg06496078	0.0100588394826517	C12orf23	12	107350075
cg06496654	0.878101382184529	NA	NA	0
cg06497752	0.258935760146212	COL9A3	20	61448534
cg06497795	0.0170478067466578	ZC3H10	12	56511914
cg06498267	0.58088981280809	HCN1	5	45695922
cg06499565	0.0210237432731279	NDRG3	20	35374747
cg06499652	0.180679227352544	ARNTL	11	13299410
cg06500079	0.0594794504823996	VPS53	17	619033
cg06500476	0.76935809247907	C4orf19	4	37584954
cg06501070	0.474819848972152	LPAR3	1	85331899
cg06501084	0.667500363021938	KCNH5	14	63568195
cg06501790	0.573506260533639	SLC34A1	5	176811257
cg06502510	0.0197693864053204	ITSN1;CRYZL1	21	35013970
cg06502868	0.00923758527694901	H3F3B	17	73775964
cg06504820	0.676470828810822	DLK1	14	101192273
cg06505666	0.0148485659385631	CKAP2L	2	113522377
cg06506156	0.0204895550332427	TSSC1	2	3381578
cg06506864	0.875088657804513	NPSR1	7	34698188
cg06507244	0.842127632483485	DHX32	10	127569494
cg06507645	0.0381982620924708	NA	NA	0
cg06508445	0.0149673406185529	LOX	5	121414088
cg06508934	0.0217360369126036	TIMP2	17	76921095
cg06509239	0.159698744763692	OSR1	2	19558569
cg06509940	0.778534687042236	NA	NA	0
cg06510830	0.0197819294095512	C21orf45	21	33651316
cg06513075	0.0178569363521314	NAT10	11	34126714
cg06516124	0.502822078962387	WT1	11	32450591
cg06516650	0.0171173716241189	RAB30	11	82783039
cg06517798	0.873723058884322	ATP1A4	1	160121283
cg06518271	0.382878859905829	ADH6	4	100140325
cg06518779	0.0173097059087423	BIVM;KDELC1	13	103452556
cg06521280	0.196873190409426	C10orf55;PLAU	10	75671378
cg06521761	0.870939828710342	LRP2BP	4	186299612
cg06521852	0.056059058036187	TRIOBP	22	38141419
cg06522719	0.765104370297663	NA	NA	0
cg06526829	0.0326822168528951	KCND1	X	48828070
cg06528936	0.0100663061302415	GNL2	1	38061398
cg06529761	0.831984297890804	DNASE1	16	3702486
cg06530118	0.0238722147289752	CLN3	16	28503379
cg06531741	0.466467850230528	HTR3B	11	113775450
cg06532147	0.883080508417537	NA	NA	0
cg06532176	0.0128407211540036	WWOX	16	78133804
cg06532493	0.0186077911659573	CISD1	10	60029458
cg06533629	0.0438907729420241	KLF14	7	130419370
cg06534172	0.00937587039670299	DDX39	19	14530497
cg06534422	0.016096850662094	MIF	22	24236603
cg06536578	0.845465009796769	JPH4	14	24048555
cg06537230	0.529768004186942	DLX5	7	96653183
cg06537829	0.0235018546952218	UBB	17	16283976
cg06538003	0.0284255010690562	FBXO48;APLF	2	68694168
cg06539449	0.882061328682812	CCND1	11	69461008
cg06539804	0.31840091857403	CPXM1	20	2781489
cg06540105	0.0282041396627454	CCDC74A	2	132285688
cg06540636	0.0224786497980998	PLAUR	19	44174071
cg06540715	0.0578899247431743	ANKRD10	13	111568383
cg06540941	0.106844856271877	VAMP4	1	171710566
cg06541857	0.0457250437719799	ANAPC13;CEP63	3	134203789
cg06542614	NA	PDLIM1	10	97051255
cg06543018	0.428751950368017	RBP1	3	139258822
cg06543761	0.00865542323404582	PDP1	8	94929239
cg06544198	0.0228978385585876	TMEM14C	6	10723702
cg06545504	0.795394500074796	NA	NA	0
cg06545845	0.012870505257925	ARL8A	1	202114092
cg06546607	0.316600983628623	PEPD	19	34013019
cg06547766	0.457993474432518	LPP	3	187930704
cg06548519	0.84696235744917	LYZL6	17	34267111
cg06550629	0.888659054259744	GPR133	12	131439172
cg06552037	0.311875490199455	INHA;OBSL1	2	220435838
cg06552050	0.00920874325177187	CSDA	12	10875369
cg06554069	0.148224874303684	SAFB2;SAFB	19	5624175
cg06554542	0.0215861803317812	GNPTAB	12	102224375
cg06554928	0.0318448016765724	PFN1	17	4852795
cg06557358	0.59143283068398	TMEM132E;C17orf102	17	32907002
cg06557606	NA	ATP6V1H	8	54756224
cg06563300	0.168360880806269	SLC17A8	12	100750811
cg06564900	0.482793620128654	FIGN	2	164592568
cg06565684	0.0291629900531639	NA	NA	0
cg06566994	NA	ZNF167	3	44596384
cg06567342	0.0722433161423744	ZRANB2	1	71546685
cg06567423	0.0273568284912839	STT3A	11	125462867
cg06570843	0.30372901998912	FABP2	4	120243252
cg06572160	0.522434896825697	KCNC3	19	50831901
cg06572974	0.941512380056103	CHD2	15	93442219
cg06575572	NA	FAM118A	22	45705265
cg06577005	0.308565702701179	DHDDS	1	26758228
cg06577463	0.0298808336414468	EIF4A3	17	78120714
cg06577658	0.0169448763649693	DMWD	19	46296270
cg06577725	0.473553372557102	SPATA16	3	172858917
cg06580318	0.0200964309443326	SPC25	2	169747119
cg06583518	0.0313745517193554	ZNF540;ZNF571	19	38085456
cg06584407	0.900652100221244	NPPA	1	11907324
cg06585027	0.010054905663185	PI4KB	1	151300083
cg06585108	NA		10	134671604
cg06585690	NA	PROL1	4	71262957
cg06585893	0.754789122046916	CAPN9	1	230883552
cg06586599	0.0117376674505093	MCOLN1	19	7587541
cg06587969	0.0121108464524144	WRAP53;TP53	17	7591899
cg06588247	0.0119813495767691	TRAF3	14	103244199
cg06589885	0.439987985136953	HFE2	1	145413193
cg06590533	0.0127209881878476	NA	NA	0
cg06590610	0.898244159573557	IKZF1	7	50444317
cg06590711	0.24932645612259	NA	NA	0
cg06593568	0.0252646987747337	TATDN3;NSL1	1	212965581
cg06594008	0.130939106791696	MKL1	22	41033637
cg06595693	0.271398987179193	DISP2	15	40649989
cg06597095	0.74509713846831	C5orf28	5	43480361
cg06597861	0.0128411505313077	LY6E;LOC100133669	8	144100572
cg06598256	0.981562345700027	FERMT3	11	63988554
cg06598631	0.0125832084198429	RARS2;ORC3L	6	88300029
cg06600412	0.00797036681181326	MLF1IP	4	185655239
cg06600447	0.0189381133229805	C19orf50	19	18668837
cg06601473	0.83096511138682	C11orf41	11	33694151
cg06602857	0.153830589858548	FOXF1	16	86542807
cg06605933	0.137368068448203	BOLA1	1	149870977
cg06606198	0.0109552822832043	DDX55	12	124086727
cg06607866	0.249885765633571	AIP	11	67250809
cg06609049	0.113301843586435	THOP1	19	2785107
cg06609475	0.015685146891472	NDUFS6;MRPL36	5	1801142
cg06611310	0.0157191651128091	KLRAQ1	2	48667531
cg06611744	0.0875919148978727	RASL11A	13	27844618
cg06612452	0.022687235362637	PINK1	1	20960677
cg06613840	0.389881784051378	GPX1	3	49395574
cg06614002	0.931816154985737	SOX10	22	38380439
cg06615154	0.836574889273157	S100A3	1	153522553
cg06615667	0.0145618858245191	GPR107	9	132816229
cg06615861	0.014140909782346	KIF1B	1	10271191
cg06616147	0.0377898042299893	ICK	6	52926842
cg06616245	0.0513448440417904	GLI1	12	57854236
cg06617418	0.175241585387852	AMMECR1;RGAG1	X	109662113
cg06618866	0.170037600565638	TLR2	4	154605087
cg06619076	0.0262862496713885	ASPH	8	62627042
cg06619299	0.957733233519089	GMCL1L	5	177615005
cg06620254	0.0503087373347621	NONO;BCYRN1	X	70503046
cg06621126	0.47991097513154	HSF4	16	67198243
cg06621358	0.606223043789253	CELSR3	3	48699637
cg06622725	0.00809795469902411	PEX16	11	45939917
cg06623268	NA	MUTYH;TOE1	1	45805342
cg06624832	0.0148611795594704	TMEM104;NAT9	17	72772340
cg06625414	0.010152829426656	SLC4A3	2	220492692
cg06625767	0.814029471875761	F12	5	176836695
cg06625811	0.0175336970267707	KIFAP3	1	170044077
cg06626655	0.505579363510947	RSPO1	1	38099916
cg06627364	0.0463378217130113	NA	NA	0
cg06628693	0.032015363263964	PRKACB	1	84543156
cg06630241	0.177219136728451	SOCS2	12	93967711
cg06630567	0.78648163816773	AMBP	9	116840435
cg06630737	0.410089328059176	MAD2L2;C1orf187	1	11752109
cg06632528	NA	NUDT22;TRPT1	11	63993432
cg06634267	0.0288106591887724	SNRNP48	6	7590278
cg06636246	0.0288585174432346	LCOR	10	98593247
cg06636463	0.416746656215601	DDX1	2	15731711
cg06637774	0.330626508739014	P2RY6	11	72975702
cg06637893	0.0528516605625951	C16orf86;C16orf48	16	67700960
cg06638012	0.0359610963851406	AFF4	5	132299861
cg06638433	0.135012220993108	IGF2BP1	17	47075175
cg06638451	0.49677018719833	FAM107A	3	58563269
cg06638966	0.248878368670913	COL19A1	6	70576321
cg06639544	NA	OR7A5	19	14940319
cg06640279	0.470295581078067	FAIM3	1	207095153
cg06641366	0.8632572309158	LRRC8C	1	90097604
cg06641503	0.868976638917705	ARIH2	3	48959341
cg06642617	0.00790116616738336	CCT7;C2orf7	2	73461528
cg06643227	0.877410746889755		9	114557239
cg06645778	NA	HSPC159	2	64680425
cg06646021	0.397794021796724	RAB4A	1	229406520
cg06648029	0.932495648655209	NR1I2	3	119499749
cg06649520	0.00833202608843473	ARFIP1;TIGD4	4	153700671
cg06650260	0.4541725116649	NR0B2	1	27240478
cg06650786	0.341744791617978	NOTCH3	19	15312129
cg06653796	0.279603788488229	LIME1	20	62367805
cg06654134	0.0274603921608344	CRIPT;PIGF	2	46844408
cg06654447	0.0157278613106016	TMEM141	9	139686019
cg06655089	0.00819213050120985	IMPDH2	3	49066738
cg06655100	0.654725924679891	KLF8	X	56259373
cg06655504	0.0227322859553138	GDPD1	17	57297718
cg06656924	0.190860782291975	ZNF76	6	35228319
cg06657741	0.0453262258455044	SLC9A6	X	135067456
cg06659073	0.0718554028361434	SERAC1;GTF2H5	6	158589307
cg06659128	0.114767708178168	TMLHE	X	154842535
cg06661765	NA	NFIX	19	13106629
cg06661994	0.37991727191357	C20orf195	20	62184363
cg06665322	0.713916794775213	GPA33	1	167059365
cg06665799	0.0122132790108183	TMED9	5	177019313
cg06665941	0.011872623883514	IFNAR2	21	34602869
cg06665984	0.0159847050830931	TRIP11	14	92506784
cg06666486	0.03719163285591	EIF2AK1	7	6099044
cg06667091	0.835091339632319	CCNC	6	100017988
cg06667406	0.932235322280198	AASS	7	121773889
cg06668073	0.0185169113713695	FERMT1	20	6104018
cg06668300	0.543821853838419	MAL	2	95691755
cg06672652	0.0205542584234628	SNRPE	1	203830934
cg06673956	NA	GPR116	6	46882872
cg06675341	NA	PRMT3	11	20408613
cg06675478	0.530783339386161	SOX1	13	112721786
cg06675496	0.0409282254442038	ITSN2	2	24582688
cg06677140	0.0540344709915175	MSX1	4	4862015
cg06677660	0.0144066571025213	SEC1;DBP	19	49140777
cg06679221	0.0244214575445557	THUMPD3	3	9405070
cg06682185	0.830753711206214	SERPINB5	18	61157615
cg06682978	0.00979967326205311	CAP2	6	17394417
cg06684910	0.0100250633384926	POLR3E	16	22308904
cg06687562	NA	ACTL8	1	18081775
cg06688396	0.25794186872908	TMEM55A	8	92053433
cg06688848	0.0117282775626457	RSPRY1;FAM192A	16	57220097
cg06689536	0.0153318693241928	CCNF	16	2480094
cg06690548	0.41448457790585	SLC7A11	4	139162808
cg06690633	0.020935328398673	RAB15	14	65438715
cg06691299	0.0269065607839618	CDK16	X	47077361
cg06692050	0.678846089423905	SFRP5	10	99532398
cg06692957	0.0194075228332755	GNAQ	9	80647629
cg06695761	0.597217605249726	SGCE;PEG10	7	94286526
cg06697251	0.4826319329341	TUBB4	19	6501613
cg06698742	0.0108438593069551	TMEM126A	11	85359218
cg06699365	0.01018887090275	OSBP	11	59383578
cg06700265	0.00660744257358209	DUSP16	12	12715028
cg06700462	0.169736779639047	PHKA2	X	19002006
cg06701500	0.0232848800080451	YWHAQ	2	9771671
cg06707338	0.00938221005559253	EEF1B2;NDUFS1	2	207024452
cg06707886	0.00815690274855475	C7orf20	7	916393
cg06708560	0.033095839086532	DNAJC7;NKIRAS2	17	40170084
cg06710522	0.00954685528710044	MRPL10;LRRC46	17	45908972
cg06710648	0.668397428151633	DAB1	1	58716377
cg06711560	0.890063865219346	MAMDC4	9	139746365
cg06712026	0.13090384265462	CSTF2T;PRKG1	10	53459102
cg06713098	0.527295374838743	IGFBP3	7	45960367
cg06714705	0.530129712839546	OLFML1	11	7506940
cg06716436	0.0127685481114238	S1PR2	19	10342240
cg06717104	0.0105751764986582	NA	NA	0
cg06717231	0.131372460558093	ZNF559	19	9434953
cg06718696	0.0129359399166669	EIF4A3	17	78121285
cg06719391	0.387384232451135	KCNQ1	11	2554330
cg06720424	0.00700831663283206	UIMC1	5	176433271
cg06720660	NA	RNASE6	14	21248497
cg06720956	0.461617179905291	NA	NA	0
cg06722216	0.157489792870486	NOL4	18	31803067
cg06722633	0.685311315079862	GRIK3	1	37499309
cg06722792	0.0178595335498682	PDE9A	21	44073919
cg06723357	0.74417283069775	CUEDC1	17	55981642
cg06725035	0.0502122310573559	PRMT2	21	48055212
cg06725760	0.0462993328504484	WDR37	10	1102461
cg06726207	0.155262960840486	SIX4	14	61190550
cg06728335	0.00939724885386409	RNPS1	16	2318300
cg06730286	0.90216819968783	IFT140	16	1657372
cg06730468	0.0470417515908548	TMEM143;SYNGR4	19	48867056
cg06731484	0.0165228376180427	IVD	15	40697714
cg06731599	0.27229648632857	ATP6AP2	X	40440704
cg06734812	0.262158129873686	BRUNOL5	19	3223915
cg06734828	0.00745696198916212	NA	NA	0
cg06734962	0.0101612466421585	CEBPD	8	48650989
cg06736444	0.772003773896131	LOC100128788;SRRM2	16	2801793
cg06738602	0.24601192298398	PTGER2	14	52780634
cg06740897	0.248487100338788	NFE2L1	17	46124821
cg06742978	0.031118922922907	ACCN2	12	50451907
cg06743811	0.663068965530886	NDN	15	23931451
cg06744574	0.643239810781666	BEND5;AGBL4	1	49242359
cg06745740	0.159565260892322	HGF	7	81399587
cg06746101	0.0761962895180866	TMED3	15	79603771
cg06746171	0.0207094792635152	ATOX1	5	151138551
cg06747888	0.0415581226831843	TBR1	2	162271859
cg06748315	0.913680809701038	KRTAP19-3	21	31864089
cg06750167	0.443306819977897	TESC	12	117538458
cg06751597	0.104391957477958	SNAP23	15	42788175
cg06752594	0.00980193327858078	PSRC1	1	109825964
cg06754047	0.0245823628081535	SMYD5	2	73441257
cg06755819	0.408086419061803	NA	NA	0
cg06757810	0.575609178834036	CNGB3	8	87756528
cg06758848	0.373566419336887	FLNA	X	153603268
cg06759215	0.0146593402951745	DBF4B	17	42786055
cg06759890	0.613785871152677	LHFPL2	5	77806538
cg06760035	0.301158276300151	NA	NA	0
cg06762858	0.786991495681899	NA	NA	0
cg06763078	0.0960027380388862	KCNC1	11	17756761
cg06765434	0.0156801296641762	TXNL1	18	54305287
cg06765514	0.0220606524783124	PIP5KL1	9	130689862
cg06765947	0.909799267932704	UROC1	3	126236742
cg06766367	0.23362551162114	CBFB	16	67062687
cg06768707	NA	PCDHB8	5	140556503
cg06771126	0.134944356996179	HOPX	4	57547699
cg06772202	NA	MDH2;STYXL1	7	75678527
cg06776256	0.104032568405504	GPRC5A	12	13043728
cg06777274	0.0154806088060918	ME2	18	48406251
cg06777581	0.0386107817584528	RNF8	6	37321919
cg06777715	0.0165078249137169	NA	NA	0
cg06778853	0.0669799225618445	PHF13	1	6672620
cg06779945	0.0116015946068297	TNFAIP3	6	138188320
cg06780358	0.0143153935389319	PTPRJ	11	48003065
cg06781209	0.489230096160466	FADS2	11	61594997
cg06782692	0.0271618403589698	STK32C	10	134121419
cg06782849	0.017908975579081	NPHP3;NCRNA00119	3	132440859
cg06783668	NA	ANKRD53	2	71204585
cg06784339	NA	MKRN1	7	140179139
cg06784466	0.15359056691113	FPR3	19	52297968
cg06785429	0.482154772416384	DCUN1D1	3	182699414
cg06785822	NA	C2orf48	2	10281330
cg06786424	0.0201151884017335	PRPF4B	6	4021316
cg06790275	0.022779446661056	PIAS1	15	68346669
cg06790324	0.0450837943487095	GRB10	7	50860564
cg06790862	0.922355267733802	MPPED2	11	30601783
cg06791102	0.810352927701685	ARHGAP4	X	153191600
cg06791867	NA	TSPAN18	11	44880944
cg06792598	0.0225267036375867	CD55	1	207494733
cg06792911	NA	SLC2A1	1	43425022
cg06793062	NA	CNTNAP4	16	76343868
cg06796611	0.741730091496923	IL24	1	207070834
cg06797533	0.0161142020337738	PLIN2	9	19127804
cg06798189	NA	SLC4A7	3	27498659
cg06799664	0.8365621490617	DNAH17	17	76567121
cg06800962	0.126126703492216	TM4SF1	3	149096029
cg06803184	0.0143080243823654	FH	1	241683075
cg06803253	0.923575434711679	GNAT1	3	50229604
cg06804431	0.0246571801201431	GNRHR2;PEX11B	1	145516254
cg06804711	0.0182238714891388	NA	NA	0
cg06806080	0.961604226772679	CD47	3	107810791
cg06806711	0.713209855212649	MS4A1	11	60223291
cg06807379	NA	DAPK3	19	3971119
cg06807579	0.0111203624399678	RPL29	3	52029988
cg06807989	0.0312648709125962	C3orf52	3	111805312
cg06808983	0.0117863441736934	G6PC3	17	42148292
cg06809565	0.0413096277808266	HCFC1;TMEM187	X	153236787
cg06810461	0.917442745050859	AGRP	16	67518144
cg06810647	0.408528660837852	CRAMP1L	16	1665094
cg06811800	0.882650624661057	ATP4B	13	114312105
cg06812033	0.0295974604634155	NKD1	16	50582453
cg06812844	0.722260118763818	TRPM2	21	45773782
cg06812977	0.147027482737454	NA	NA	0
cg06813842	0.594405869424647	NA	NA	0
cg06815666	0.201437657160502	PRPF31;TFPT	19	54618544
cg06815817	0.0276678748583069	ZNF212	7	148936572
cg06816063	0.0112193843530862	RAB8A	19	16222510
cg06816106	0.0455710379378804	SPDYA	2	29033352
cg06816161	0.0100398888340058	EZH2	7	148581907
cg06817264	0.572923713454527	CTSF	11	66335649
cg06817269	0.787288369844018	GCNT3	15	59909035
cg06817917	0.026230778892496	BMPR1A	10	88515527
cg06818415	0.021056810264488	PHF1	6	33379267
cg06818473	0.327012977104863	NA	NA	0
cg06818777	0.640170217187174	CHAD;ACSF2	17	48546620
cg06819200	0.0211843866035587	ECE1	1	21616641
cg06821120	0.58919765126732	RASSF1	3	50375459
cg06821274	0.0291184909973847	SSR2	1	155990882
cg06821993	0.532952518454182	CSMD3	8	114449011
cg06822229	0.095387009105199	ACSL4	X	108976856
cg06822995	0.104090470083477	CAMK4	5	110559431
cg06823263	0.0361703440727466	USF1	1	161015119
cg06824727	0.0180483123886109	DHRS1;C14orf21	14	24768621
cg06825142	0.262486977875326	DRD4	11	637170
cg06825166	0.586242298259586	OPALIN	10	98119079
cg06827038	0.23343262990486	WFIKKN2	17	48912952
cg06827976	0.892341004131559	FGR	1	27950589
cg06830426	0.0413321670380102	RPS5	19	58898769
cg06831658	0.025955228075789	NA	NA	0
cg06832039	0.938706194068989	NA	NA	0
cg06832950	0.913889689879582	NA	NA	0
cg06833562	0.0172294478409486	ZNHIT6	1	86174060
cg06834261	0.0363376035198144	ALS2CR8;WDR12	2	203776215
cg06834875	0.365355522018564	HHIPL1	14	100111263
cg06834983	0.979501635215567	SSX7	X	52683807
cg06836338	0.0145478806306596	ATPAF2;C17orf39	17	17942007
cg06836736	0.067487370061732	ME1	6	84140993
cg06836772	0.122566872807207	PRKAA2	1	57110403
cg06836849	0.300936301234898	SLC17A8	12	100751051
cg06837731	0.0381942776148798	ERLIN1	10	101945906
cg06838394	NA	ARFGEF2	20	47538719
cg06839953	0.0125313222641866	TMEM222	1	27648457
cg06840042	0.0100868163853915	MKRN2	3	12598618
cg06840226	0.00914752409765412	NA	NA	0
cg06840239	0.00986805215069374	TAF6L	11	62539043
cg06840801	0.879150724684701	CHRNB3	8	42552719
cg06848073	0.275501960242789	FBXO44;FBXO2	1	11713540
cg06848288	0.0127894877365898	PHIP	6	79788573
cg06849227	0.984380286998173	NA	NA	0
cg06849477	0.0783400082496305	PRR5	22	45072724
cg06850526	0.156337861481965	SLC38A10	17	79269886
cg06851207	0.510852228968255	PNMAL1	19	46975138
cg06852652	NA	CYP2C18	10	96442031
cg06852744	0.717651517766149	AEBP1	7	44142973
cg06855803	0.275300039867034	ICAM3	19	10450364
cg06856528	0.624460761768905	TMEFF2	2	193059405
cg06859828	0.919286343030133	NA	NA	0
cg06862062	0.00886030482747237	ACOX3	4	8442641
cg06862644	0.886119072265212	SPATA22	17	3375469
cg06864275	0.00931829112282948	SBNO2	19	1174154
cg06866657	0.0590804134331118	LHX6	9	124990754
cg06866862	0.596040073485475	NA	NA	0
cg06868758	0.532771486800666	EEF1B2;SNORD51;NDUFS1	2	207025391
cg06869899	0.0204694704435401	BRE;RBKS;LOC100302650	2	28113326
cg06871974	NA	TNS3	7	47578960
cg06872331	0.0357045599405194	STEAP3	2	119981960
cg06872381	0.661648312951681	DPPA3	12	7864076
cg06873352	0.0425037528605335	STRADA	17	61820015
cg06874144	0.81781913001142	CAB39	2	231576873
cg06878726	0.0149246067569026	RBM19	12	114404035
cg06880557	0.042398496958885	C13orf27	13	103425546
cg06882877	0.408163821364017	PAQR6	1	156217801
cg06882926	NA	OR1G1	17	3031354
cg06883149	0.0142596838310372	NA	NA	0
cg06885524	0.0120963475407327	CYBRD1	2	172379087
cg06885782	0.231682984253427	KCNQ4	1	41248209
cg06886022	0.019816915555072	C9orf75	9	140095555
cg06887167	NA	CIT	12	120314679
cg06887170	0.0322486580336585	IFI27L2	14	94596104
cg06887414	0.0104922053549629	RPN1	3	128369476
cg06887663	0.0268762933838693	SNAPC1	14	62228983
cg06890553	0.0297626547286551	ZNF223	19	44556485
cg06892726	0.0851004373126511	HFE	6	26087607
cg06893980	0.0130429139408362	PSMB1;TBP	6	170862231
cg06894381	0.0156628023569791	SLC35D1	1	67519805
cg06894812	0.369808474211333	MCC	5	112630225
cg06896207	0.755701254151439	MOBKL2A	19	2095364
cg06898923	NA	RAB18	10	27792905
cg06899329	0.936408029827887	NDUFA13;TSSK6	19	19627922
cg06899582	0.0550950402312402	ZNF280C	X	129402809
cg06899802	0.00893802905191526	CSNK1A1	5	148931087
cg06899808	0.824097993938649	NA	NA	0
cg06899976	0.537512500636792	PCDHB1	5	140430962
cg06900776	0.0441885928812569	ARMCX3	X	100878107
cg06901392	0.0167751664820177	HSPH1	13	31736105
cg06904813	0.591345390156182	NA	NA	0
cg06905514	0.731054355534041	NA	NA	0
cg06905862	0.0163128925502154	TPP1	11	6640837
cg06906435	0.499112190549102	C14orf177	14	99177777
cg06907544	0.670378349235059	NA	NA	0
cg06908474	0.0632073958663149	CAT	11	34460516
cg06908778	0.674875746555268	SPAG6	10	22634602
cg06910048	0.025586398162841	C11orf57;PIH1D2	11	111945509
cg06910100	0.844130439131195	USHBP1	19	17375091
cg06911084	0.705345456421374	DLX5	7	96652894
cg06911113	0.077108272329269	UBXN10	1	20512617
cg06912252	0.0191754986722692	C9orf125	9	104248926
cg06913228	0.0092701920692761	UBE2J1	6	90062465
